Heroes
The Flash
Aquaman
Batman
Cyborg
Green Lantern
Justice League
Supergirl
Superman
Swamp Thing
Plastic Man
Wonder Woman
Batgirl
Green Arrow
Robin
Shazam
Titans
Booster Gold
Nightwing
Deadman
Blue Beetle
Batwoman
Birds of Prey
Superboy
Firestorm
Green Lantern Corps
Commissioner James Gordon
Lucius Fox
Alfred Pennyworth
Zatanna
Mera
Raven
Hawkgirl
Damian Wayne
Hawkman
Amethyst
Starfire
Beast Boy
Krypto
Pandora
Lois Lane
Black Canary
Harvey Bullock
Atom
Martian Manhunter
Jimmy Olsen
Arsenal
Midnighter
Mister Terrific
Donna Troy
Vixen
Big Barda
Mister Miracle
Doom Patrol
Jay Garrick
Black Lightning
Steve Trevor
Atlanna
Hawk and Dove
Mary Marvel
Rip Hunter
