Villains
Joker
Lex Luthor
Sinestro
Black Manta
Black Adam
Captain Cold
Darkseid
Ras al Ghul
Scarecrow
Bane
Reverse Flash
Gorilla Grodd
Brainiac
Solomon Grundy
Doomsday
Killer Frost
Zod
Deadshot
Riddler
Penguin
Telos
Deimos
Two Face
Killer Croc
Mister Freeze
The Cheetah
Anti Monitor
Captain Boomerang
Vandal Savage
Heat Wave
Damien Darhk
HIVE
Anarky
Zoom
Ocean Master
Maxwell Lord
Trigon
Steppenwolf
Seven Deadly Sins
Doctor Sivana
